ELECTRICACTUATOR	A device that electrically actuates a control element.
SPEAKER        A loudspeaker, speaker, or speaker system is an electroacoustical transducer that converts an electrical signal to sound.
SWITCHER        A device that receives audio and/or video signals, switches sources, and transmits signals to downstream devices.
TELEPHONE        A telecommunications device that is used to transmit and receive sound, and optionally video.
TUNER        An electronic receiver that detects, demodulates, and amplifies transmitted signals.
WATER	Water boiler.
STEAM	Steam boiler.
AIRCOOLED	Air cooled chiller.
WATERCOOLED	Water cooled chiller.
HEATRECOVERY	Heat recovery chiller.
DXCOOLINGCOIL	Cooling coil using a refrigerant to cool the air stream directly.
ELECTRICHEATINGCOIL	Heating coil using electricity as a heating source.
GASHEATINGCOIL	Heating coil using gas as a heating source.
HYDRONICCOIL	Cooling or Heating coil that uses a hydronic fluid as a cooling or heating source.
STEAMHEATINGCOIL	Heating coil using steam as heating source.
WATERCOOLINGCOIL	Cooling coil using chilled water. HYDRONICCOIL supercedes this enumerator.
WATERHEATINGCOIL	Heating coil using hot water as a heating source. HYDRONICCOIL supercedes this enumerator.
ANTENNA        A transducer designed to transmit or receive electromagnetic waves.
COMPUTER        A desktop, laptop, tablet, or other type of computer that can be moved from one place to another and connected to an electrical supply via a plugged outlet.
FAX        A machine that has the primary function of transmitting a facsimile copy of printed matter using a telephone line.
GATEWAY        A gateway connects multiple network segments with different protocols at all layers (layers 1-7) of the Open Systems Interconnection (OSI) model.
MODEM        A modem (from modulator-demodulator) is a device that modulates an analog carrier signal to encode digital information, and also demodulates such a carrier signal to decode the transmitted information.
NETWORKAPPLIANCE        A network appliance performs a dedicated function such as firewall protection, content filtering, load balancing, or equipment management.
NETWORKBRIDGE        A network bridge connects multiple network segments at the data link layer (layer 2) of the OSI model, and the term layer 2 switch is very often used interchangeably with bridge.
NETWORKHUB        A network hub connects multiple network segments at the physical layer (layer 1) of the OSI model.
PRINTER        A machine that has the primary function of printing text and/or graphics onto paper or other media.
REPEATER        A repeater is an electronic device that receives a signal and retransmits it at a higher level and/or higher power, or onto the other side of an obstruction, so that the signal can cover longer distances without degradation.
ROUTER        A router is a networking device whose software and hardware are usually tailored to the tasks of routing and forwarding information. For example, on the Internet, information is directed to various paths by routers.
SCANNER        A machine that has the primary function of scanning the content of printed matter and converting it to digital format that can be stored in a computer.
DYNAMIC	The pressure of refrigerant vapor is increased by a continuous transfer of angular momentum from a rotating member to the vapor followed by conversion of this momentum into static pressure.
RECIPROCATING	Positive-displacement compressor using a piston driven by a connecting rod from a crankshaft.
ROTARY	Positive-displacement compressor using a roller or rotor device.
SCROLL	Positive-displacement compressor using two inter-fitting, spiral-shaped scroll members.
TROCHOIDAL	Positive-displacement compressor using a rolling motion of one circle outside or inside the circumference of a basic circle and produce either epitrochoids or hypotrochoids.
SINGLESTAGE	Positive-displacement reciprocating compressor where vapor is compressed in a single stage.
BOOSTER	Positive-displacement reciprocating compressor where pressure is increased by a booster.
OPENTYPE	Positive-displacement reciprocating compressor where the shaft extends through a seal in the crankcase for an external drive.
HERMETIC	Positive-displacement reciprocating compressor where the motor and compressor are contained within the same housing, with the motor shaft integral with the compressor crankshaft and the motor in contact with refrigerant.
SEMIHERMETIC	Positive-displacement reciprocating compressor where the hermetic compressors use bolted construction amenable to field repair.
WELDEDSHELLHERMETIC	Positive-displacement reciprocating compressor where the motor compressor is mounted inside a steel shell, which, in turn is sealed by welding.
ROLLINGPISTON	Positive-displacement rotary compressor using a roller mounted on the eccentric of a shaft with a single vane in the nonrotating cylindrical housing.
ROTARYVANE	Positive-displacement rotary compressor using a roller mounted on the eccentric of a shaft with multiple vanes in the nontotating cylindrical housing.
SINGLESCREW	Positive-displacement rotary compressor using a single cylindrical main rotor that works with a pair of gate rotors.
TWINSCREW	Positive-displacement rotary compressor using two mating helically grooved rotors, male (lobes) and female (flutes) in a stationary housing with inlet and outlet gas ports.
AIRCOOLED	A condenser in which heat is transferred to an air-stream.
EVAPORATIVECOOLED	A condenser that is cooled evaporatively.
WATERCOOLED	Water-cooled condenser with unspecified operation.
WATERCOOLEDBRAZEDPLATE	Water-cooled condenser with plates brazed together to form an assembly of separate channels.
WATERCOOLEDSHELLCOIL	Water-cooled condenser with cooling water circulated through one or more continuous or assembled coils contained within the shell.
WATERCOOLEDSHELLTUBE	Water-cooled condenser with cooling water circulated through one or more tubes contained within the shell.
WATERCOOLEDTUBEINTUBE	Water-cooled condenser consisting of one or more assemblies of two tubes, one within the other.
FLOATING	Output increases or decreases at a constant or accelerating rate.
PROGRAMMABLE	Output is programmable such as Discrete Digital Control (DDC).
PROPORTIONAL	Output is proportional to the control error and optionally time integral and derivative.
MULTIPOSITION	Output is discrete value, can be one of three or more values.
TWOPOSITION	Output can be either on or off.
ACTIVE	An active or ventilated cooled beam provides cooling (and heating) but can also function as an air terminal in a ventilation system.
PASSIVE	A passive or static cooled beam provides cooling (and heating) to a room or zone.
NATURALDRAFT	Air flow is produced naturally.
MECHANICALINDUCEDDRAFT	Air flow is produced by a mechanical device, typically one or more fans, located on the air outlet side of the cooling tower.
MECHANICALFORCEDDRAFT	Air flow is produced by a mechanical device, typically one or more fans, located on the inlet air side of the cooling tower.
BACKDRAFTDAMPER	Damper used for purposes of manually balancing pressure differences. Commonly operated by mechanical adjustment.
BALANCINGDAMPER	Backdraft damper used to restrict the movement of air in one direction. Commonly operated by mechanical spring.
BLASTDAMPER	Blast damper used to prevent protect occupants and equipment against overpressures resultant of an explosion. Commonly operated by mechanical spring.
CONTROLDAMPER	Control damper used to modulate the flow of air by adjusting the position of the blades. Commonly operated by an actuator of a building automation system.
FIREDAMPER	Fire damper used to prevent the spread of fire for a specified duration. Commonly operated by fusable link that melts above a certain temperature.
FIRESMOKEDAMPER	Combination fire and smoke damper used to preven the spread of fire and smoke. Commonly operated by a fusable link and a smoke detector.
FUMEHOODEXHAUST	Fume hood exhaust damper. Commonly operated by actuator.
GRAVITYDAMPER	Gravity damper closes from the force of gravity. Commonly operated by gravitational weight.
GRAVITYRELIEFDAMPER	Gravity-relief damper used to allow air to move upon a buildup of enough pressure to overcome the gravitational force exerted upon the damper blades. Commonly operated by gravitational weight.
RELIEFDAMPER	Relief damper used to allow air to move upon a buildup of a specified pressure differential. Commonly operated by mechanical spring.
SMOKEDAMPER	Smoke damper used to prevent the spread of smoke. Commonly operated by a smoke detector of a building automation system.
FLATOVAL	Flat-oval shaped duct silencer type.
RECTANGULAR	Rectangular shaped duct silencer type.
ROUND	Round duct silencer type.
DISHWASHER	An appliance that has the primary function of washing dishes.
ELECTRICCOOKER	An electrical appliance that has the primary function of cooking food (including oven, hob, grill).
FREESTANDINGELECTRICHEATER	An electrical appliance that is used occasionally to provide heat. A freestanding electric heater is a 'plugged' appliance whose load may be removed from an electric circuit.
FREESTANDINGFAN	An electrical appliance that is used occasionally to provide ventilation. A freestanding fan is a 'plugged' appliance whose load may be removed from an electric circuit.
FREESTANDINGWATERHEATER	A small, local electrical appliance for heating water. A freestanding water heater is a 'plugged' appliance whose load may be removed from an electric circuit.
FREESTANDINGWATERCOOLER	A small, local electrical appliance for cooling water. A freestanding water cooler is a 'plugged' appliance whose load may be removed from an electric circuit.
FREEZER	An electrical appliance that has the primary function of storing food at temperatures below the freezing point of water.
FRIDGE_FREEZER	An electrical appliance that combines the functions of a freezer and a refrigerator through the provision of separate compartments.
HANDDRYER	An electrical appliance that has the primary function of drying hands.
KITCHENMACHINE	A specialized appliance used in commercial kitchens such as a mixer.
MICROWAVE	An electrical appliance that has the primary function of cooking food using microwaves.
PHOTOCOPIER	A machine that has the primary function of reproduction of printed matter.
REFRIGERATOR	An electrical appliance that has the primary function of storing food at low temperature but above the freezing point of water.
TUMBLEDRYER	An electrical appliance that has the primary function of drying clothes.
VENDINGMACHINE	An appliance that stores and vends goods including food, drink and goods of various types.
WASHINGMACHINE	An appliance that has the primary function of washing clothes.
BATTERY	A device for storing energy in chemical form so that it can be released as electrical energy.
CAPACITORBANK	A device that stores electrical energy when an external power supply is present using the electrical property of capacitance.
HARMONICFILTER	A device that constantly injects currents that precisely correspond to the harmonic components drawn by the load.
INDUCTORBANK	
UPS	A device that provides a time limited alternative source of power supply in the event of failure of the main supply.
CHP	Combined heat and power supply, used not only as a source of electric energy but also as a heating source for the building. It may therefore be not only part of an electrical system but also of a heating system.
ENGINEGENERATOR	Electrical generator with a fuel-driven engine, for example a diesel-driven emergency power supply.
STANDALONE	Electrical generator which does not include its source of kinetic energy, that is, a motor, engine, or turbine are all modeled separately.
DC	A motor using either generated or rectified Direct Current (DC) power.
INDUCTION	An alternating current motor in which the primary winding on one member (usually the stator) is connected to the power source and a secondary winding or a squirrel-cage secondary winding on the other member (usually the rotor) carries the induced current. There is no physical electrical connection to the secondary winding, its current is induced.
POLYPHASE	A two or three-phase induction motor in which the windings, one for each phase, are evenly divided by the same number of electrical degrees.
RELUCTANCESYNCHRONOUS	A synchronous motor with a special rotor design which directly lines the rotor up with the rotating magnetic field of the stator, allowing for no slip under load.
SYNCHRONOUS	A motor that operates at a constant speed up to full load. The rotor speed is equal to the speed of the rotating magnetic field of the stator; there is no slip.
TIMECLOCK	A control that causes action to occur at set times.
TIMEDELAY	A control that causes action to occur following a set duration.
RELAY	Electromagnetically operated contactor for making or breaking a control circuit.
EXTERNALCOMBUSTION	Combustion is external.
INTERNALCOMBUSTION	Combustion is internal.
DIRECTEVAPORATIVERANDOMMEDIAAIRCOOLER	Direct evaporative random media air cooler: Cools the air stream by evaporating water dircectly into the air stream using coolers with evaporative pads, usually of aspen wood or plastic fiber/foam.
DIRECTEVAPORATIVERIGIDMEDIAAIRCOOLER	Direct evaporative rigid media air cooler: Cools the air stream by evaporating water dircectly into the air stream using coolers with sheets of rigid, corrugated material as the wetted surface.
DIRECTEVAPORATIVESLINGERSPACKAGEDAIRCOOLER	Direct evaporative slingers packaged air cooler: Cools the air stream by evaporating water dircectly into the air stream using coolers with a water slinger in an evaporative cooling section and a fan section.
DIRECTEVAPORATIVEPACKAGEDROTARYAIRCOOLER	Direct evaporative packaged rotary air cooler: Cools the air stream by evaporating water dircectly into the air stream using coolers that wet and wash the evaporative pad by rotating it through a water bath.
DIRECTEVAPORATIVEAIRWASHER	Direct evaporative air washer: Cools the air stream by evaporating water dircectly into the air stream using coolers with spray-type air washer consist of a chamber or casing containing spray nozzles, and tank for collecting spray water, and an eliminator section for removing entrained drops of water from the air.
INDIRECTEVAPORATIVEPACKAGEAIRCOOLER	Indirect evaporative package air cooler: Cools the air stream by evaporating water indirectly and without adding moisture into the air stream. On one side of the heat exchanger, the secondary air stream is cooled by evaporation, while on the other side of heat exchanger, the primary air stream (conditioned air to be supplied to the room) is sensibly cooled by the heat exchanger surfaces.
INDIRECTEVAPORATIVEWETCOIL	Indirect evaporative wet coil: Cools the air stream by evaporating water indirectly and without adding moisture into the air stream. Water is sprayed directly on the tubes of the heat exchanger where latent cooling takes place and the vaporization of the water on the outside of the heat exchanger tubes allows the simultaneous heat and mass transfer which removes heat from the supply air on the tube side.
INDIRECTEVAPORATIVECOOLINGTOWERORCOILCOOLER	Indirect evaporative cooling tower or coil cooler: Cools the air stream by evaporating water indirectly and without adding moisture into the air stream using a combination of a cooling tower or other evaporative water cooler with a water-to-air heat exchanger coil and water circulating pump.
INDIRECTDIRECTCOMBINATION	Indirect/Direct combination: Cools the air stream by evaporating water indirectly and without adding moisture into the air stream using a two-stage cooler with a first-stage indirect evaporative cooler and second-stage direct evaporative cooler.
DIRECTEXPANSION	Direct-expansion evaporator.
DIRECTEXPANSIONSHELLANDTUBE	Direct-expansion evaporator where a refrigerant evaporates inside a series of baffles that channel the fluid throughout the shell side.
DIRECTEXPANSIONTUBEINTUBE	Direct-expansion evaporator where a refrigerant evaporates inside one or more pairs of coaxial tubes.
DIRECTEXPANSIONBRAZEDPLATE	Direct-expansion evaporator where a refrigerant evaporates inside plates brazed or welded together to make up an assembly of separate channels.
FLOODEDSHELLANDTUBE	Evaporator in which refrigerant evaporates outside tubes.
SHELLANDCOIL	Evaporator in which refrigerant evaporates inside a simple coiled tube immersed in the fluid to be cooled.
CENTRIFUGALFORWARDCURVED	Air flows through the impeller radially using blades that are forward curved.
CENTRIFUGALRADIAL	Air flows through the impeller radially using blades that are uncurved or slightly forward curved.
CENTRIFUGALBACKWARDINCLINEDCURVED	Air flows through the impeller radially using blades that are backward curved.
CENTRIFUGALAIRFOIL	Air flows through the impeller radially using blades that are airfoil shaped.
TUBEAXIAL	Air flows through the impeller axially with guide vanes and reduced running blade tip clearance.
VANEAXIAL	Air flows through the impeller axially with guide vanes and reduced running blade tip clearance.
PROPELLORAXIAL	Air flows through the impeller axially and small hub-to-tip ratio impeller mounted in an orifice plate or inlet ring.
AIRPARTICLEFILTER	A filter used to remove particulates from air.
COMPRESSEDAIRFILTER	A filter used to remove particulates from compressed air.
ODORFILTER	A filter used to remove odors from air.
OILFILTER	A filter used to remove particulates from oil.
STRAINER	A filter used to remove particulates from a fluid.
WATERFILTER	A filter used to remove particulates from water.
BREECHINGINLET	Symmetrical pipe fitting that unites two or more inlets into a single pipe. A breeching inlet may be used on either a wet or dry riser. Used by fire services personnel for fast connection of fire appliance hose reels. May also be used for foam.
FIREHYDRANT	Device, fitted to a pipe, through which a temporary supply of water may be provided. May also be termed a stand pipe.
HOSEREEL	A supporting framework on which a hose may be wound.
SPRINKLER	Device for sprinkling water from a pipe under pressure over an area.
SPRINKLERDEFLECTOR	Device attached to a sprinkler to deflect the water flow into a spread pattern to cover the required area.
PRESSUREGAUGE	A device that reads and displays a pressure value at a point or the pressure difference between two points.
THERMOMETER	A device that reads and displays a temperature value at a point.
AMMETER	A device that reads and displays the current flow in a circuit.
FREQUENCYMETER	A device that reads and displays the electrical frequency of an alternating current circuit.
POWERFACTORMETER	A device that reads and displays the power factor of an electrical circuit.
PHASEANGLEMETER	A device that reads and displays the phase angle of a phase in a polyphase electrical circuit.
VOLTMETER_PEAK	A device that reads and displays the peak voltage in an electrical circuit.
VOLTMETER_RMS	A device that reads and displays the RMS (mean) voltage in an electrical circuit.
ENERGYMETER	An electric meter or energy meter is a device that measures the amount of electrical energy supplied to or produced by a residence, business or machine.
GASMETER	A device that measures the quantity of a gas or fuel.
OILMETER	A device that measures the quantity of oil.
WATERMETER	A device that measures the quantity of water.
PLATE	Plate heat exchanger.
SHELLANDTUBE	Shell and Tube heat exchanger.
STEAMINJECTION	Water vapor is added into the airstream through direct steam injection.
ADIABATICAIRWASHER	Water vapor is added into the airstream through adiabatic evaporation using an air washing element.
ADIABATICPAN	Water vapor is added into the airstream through adiabatic evaporation using a pan.
ADIABATICWETTEDELEMENT	Water vapor is added into the airstream through adiabatic evaporation using a wetted element.
ADIABATICATOMIZING	Water vapor is added into the airstream through adiabatic evaporation using an atomizing element.
ADIABATICULTRASONIC	Water vapor is added into the airstream through adiabatic evaporation using an ultrasonic element.
ADIABATICRIGIDMEDIA	Water vapor is added into the airstream through adiabatic evaporation using a rigid media.
ADIABATICCOMPRESSEDAIRNOZZLE	Water vapor is added into the airstream through adiabatic evaporation using a compressed air nozzle.
ASSISTEDELECTRIC	Water vapor is added into the airstream through water heated evaporation using an electric heater.
ASSISTEDNATURALGAS	Water vapor is added into the airstream through water heated evaporation using a natural gas heater.
ASSISTEDPROPANE	Water vapor is added into the airstream through water heated evaporation using a propane heater.
ASSISTEDBUTANE	Water vapor is added into the airstream through water heated evaporation using a butane heater.
ASSISTEDSTEAM	Water vapor is added into the airstream through water heated evaporation using a steam heater.
CYCLONIC	Removes larger liquid drops or larger solid particles.
GREASE	Chamber, on the line of a drain or discharge pipe, that prevents grease passing into a drainage system.
OIL	One or more chambers arranged to prevent the ingress of oil to a drain or sewer that retains the oil for later removal.
PETROL	Two or more chambers with inlet and outlet pipes arranged to allow petrol/gasoline collected on the surface of water drained into them to evaporate through ventilating pipes.
COMPACTFLUORESCENT	A fluorescent lamp having a compact form factor produced by shaping the tube.
FLUORESCENT	A typically tubular discharge lamp in which most of the light is emitted by one or several layers of phosphors excited by ultraviolet radiation from the discharge.
HALOGEN	An incandescent lamp in which a tungsten filament is sealed into a compact transport envelope filled with an inert gas and a small amount of halogen such as iodine or bromine.
HIGHPRESSUREMERCURY	A discharge lamp in which most of the light is emitted by exciting mercury at high pressure.
HIGHPRESSURESODIUM	A discharge lamp in which most of the light is emitted by exciting sodium at high pressure.
LED	A solid state lamp that uses light-emitting diodes as the source of light.
METALHALIDE	A discharge lamp in which most of the light is emitted by exciting a metal halide.
OLED	A solid state lamp that uses light-emitting diodes as the source of light whose emissive electroluminescent layer is composed of a film of organic compounds.
TUNGSTENFILAMENT	A lamp that emits light by passing an electrical current through a tungsten wire filament in a near vacuum.
AIRSTATION	Device that provides purified medical air, composed of an air compressor and air treatment line.
FEEDAIRUNIT	Device that feeds air to an oxygen generator, composed of an air compressor, air treatment line, and an air receiver.
OXYGENGENERATOR	Device that generates oxygen from air.
OXYGENPLANT	Device that combines a feed air unit, oxygen generator, and backup oxygen cylinders.
VACUUMSTATION	Device that provides suction, composed of a vacuum pump and bacterial filtration line.
AUDIOVISUALOUTLET	An outlet used for an audio or visual device.
COMMUNICATIONSOUTLET	An outlet used for connecting communications equipment.
POWEROUTLET	An outlet used for connecting electrical devices requiring power.
DATAOUTLET	An outlet used for connecting data communications equipment.
TELEPHONEOUTLET	An outlet used for connecting telephone communications equipment.
ELECTRONIC	A tripping unit activated by electronic action.
ELECTROMAGNETIC	A tripping unit activated by electromagnetic action.
RESIDUALCURRENT	A tripping unit activated by residual current detection.
THERMAL	A tripping unit activated by thermal action.
CIRCUITBREAKER	A mechanical switching device capable of making, carrying, and breaking currents under normal circuit conditions and also making, carrying for a specified time and breaking, current under specified abnormal circuit conditions such as those of short circuit.
EARTHLEAKAGECIRCUITBREAKER	A device that opens, closes, or isolates a circuit and has short circuit protection but no overload protection. It attempts to break the circuit when there is a leakage of current from phase to earth, by measuring voltage on the earth conductor.
EARTHINGSWITCH	A safety device used to open or close a circuit when there is no current. Used to isolate a part of a circuit, a machine, a part of an overhead line or an underground line so that maintenance can be safely conducted.
FUSEDISCONNECTOR	A device that will electrically open the circuit after a period of prolonged, abnormal current flow.
RESIDUALCURRENTCIRCUITBREAKER	A device that opens, closes, or isolates a circuit and has short circuit and overload protection. It attempts to break the circuit when there is a difference in current between any two phases. May also be referred to as 'Ground Fault Interupter (GFI)' or 'Ground Fault Circuit Interuptor (GFCI)'
RESIDUALCURRENTSWITCH	A device that opens, closes or isolates a circuit and has no short circuit or overload protection. May also be identified as a 'ground fault switch'.
VARISTOR	A high voltage surge protection device.
CIRCULATOR	A Circulator pump is a generic low-pressure, low-capacity pump. It may have a wet rotor and may be driven by a flexible-coupled motor.
ENDSUCTION	An End Suction pump, when mounted horizontally, has a single horizontal inlet on the impeller suction side and a vertical discharge. It may have a direct or close-coupled motor.
SPLITCASE	A Split Case pump, when mounted horizontally, has an inlet and outlet on each side of the impeller. The impeller can be easily accessed by removing the front of the impeller casing. It may have a direct or close-coupled motor.
SUBMERSIBLEPUMP	A pump designed to be immersed in a fluid, typically a collection tank.
SUMPPUMP	A pump designed to sit above a collection tank with a suction inlet extending into the tank.
VERTICALINLINE	A Vertical Inline pump has the pump and motor close-coupled on the pump casing. The pump depends on the connected, horizontal piping for support, with the suction and discharge along the piping axis.
VERTICALTURBINE	A Vertical Turbine pump has a motor mounted vertically on the pump casing for either wet-pit sump mounting or dry-well mounting.
BATH	Sanitary appliance for immersion of the human body or parts of it.
BIDET	Waste water appliance for washing the excretory organs while sitting astride the bowl.
CISTERN	A water storage unit attached to a sanitary terminal that is fitted with a device, operated automatically or by the user, that discharges water to cleanse a water closet (toilet) pan, urinal or slop hopper.
SHOWER	Installation or waste water appliance that emits a spray of water to wash the human body.
SINK	Waste water appliance for receiving, retaining or disposing of domestic, culinary, laboratory or industrial process liquids.
SANITARYFOUNTAIN	A sanitary terminal that provides a low pressure jet of water for a specific purpose.
TOILETPAN	Soil appliance for the disposal of excrement.
URINAL	Soil appliance that receives urine and directs it to a waste outlet.
WASHHANDBASIN	Waste water appliance for washing the upper parts of the body.
WCSEAT	[Deprecated] Hinged seat that fits on the top of a water closet (WC) pan.
CO2SENSOR	A device that senses or detects carbon dioxide.
CONDUCTANCESENSOR	A device that senses or detects electrical conductance.
CONTACTSENSOR	A device that senses or detects contact, such as for detecting if a door is closed.
FIRESENSOR	A device that senses or detects fire
FLOWSENSOR	A device that senses or detects flow in a fluid.
FROSTSENSOR	A device that senses or detects frost on a window.
GASSENSOR	A device that senses or detects gas concentration (other than CO2)
HEATSENSOR	A device that senses or detects heat.
HUMIDITYSENSOR	A device that senses or detects humidity.
IDENTIFIERSENSOR	A device that reads a tag, such as for gaining access to a door or elevator
IONCONCENTRATIONSENSOR	A device that senses or detects ion concentration, such as for water hardness.
LEVELSENSOR	A device that senses or detects fill level, such as for a tank.
LIGHTSENSOR	A device that senses or detects light.
MOISTURESENSOR	A device that senses or detects moisture.
MOVEMENTSENSOR	A device that senses or detects movement.
PHSENSOR	A device that senses or detects acidity.
PRESSURESENSOR	A device that senses or detects pressure.
RADIATIONSENSOR	A device that senses or detects pressure.
RADIOACTIVITYSENSOR	A device that senses or detects atomic decay.
SMOKESENSOR	A device that senses or detects smoke.
SOUNDSENSOR	A device that senses or detects sound.
TEMPERATURESENSOR	A device that senses or detects temperature.
WINDSENSOR	A device that senses or detects airflow speed and direction.
JALOUSIE        A blind with adjustable horizontal slats for admitting light and air while excluding direct sun and rain.
SHUTTER        A mechanical devices that limits the passage of light. Often used as a a solid or louvered movable cover for a window.
AWNING        A rooflike shelter of canvas or other material extending over a doorway, from the top of a window, over a deck, or similar, in order to provide protection, as from the sun.
SOLARCOLLECTOR	A device that converts solar radiation into thermal energy (heating water, etc.).
SOLARPANEL	A device that converts solar radiation into electric current.
CONVECTOR        A heat-distributing unit that operates with gravity-circulated air.
RADIATOR        A heat-distributing unit that operates with thermal radiation.
CONTACTOR	An electrical device used to control the flow of power in a circuit on or off.
DIMMERSWITCH	A dimmer switch has variable positions, and may adjust electrical power or other setting (according to the switched port type).
EMERGENCYSTOP	An emergency stop device acts to remove as quickly as possible any danger that may have arisen unexpectedly.
KEYPAD	A set of buttons or switches, each potentially applicable to a different device.
MOMENTARYSWITCH	A momentary switch has no position, and may trigger some action to occur.
SELECTORSWITCH	A selector switch has multiple positions, and may change the source or level of power or other setting (according to the switched port type).
STARTER	A starter is a switch which in the closed position controls the application of power to an electrical device.
SWITCHDISCONNECTOR	A switch disconnector is a switch which in the open position satisfies the isolating requirements specified for a disconnector.
TOGGLESWITCH	A toggle switch has two positions, and may enable or isolate electrical power or other setting (according to the switched port type).
BASIN	An arbitrary open tank type.
BREAKPRESSURE	An open container that breaks the hydraulic pressure in a distribution system, typically located between the fluid reservoir and the fluid supply points. A typical break pressure tank allows the flow to discharge into the atmosphere, thereby reducing its hydrostatic pressure to zero.
EXPANSION	A closed container used in a closed fluid distribution system to mitigate the effects of thermal expansion or water hammer. The tank is typically constructed with a diaphragm dividing the tank into two sections, with fluid on one side of the diaphragm and air on the other. One example application is when connected to the primary circuit of a hot water system to accommodate the increase in volume of the water when it is heated.
FEEDANDEXPANSION	An open tank that is used for both storage and thermal expansion. A typical example is a tank used to store make-up water at ambient pressure for supply to a hot water system, simultaneously accommodating increases in volume of the water when heated.
PRESSUREVESSEL	A closed container used for storing fluids or gases at a pressure different from the ambient pressure. A pressure vessel is typically rated by an authority having jurisdiction for the operational pressure.
STORAGE	An open or closed containter used for storing a fluid at ambient pressure and from which it can be supplied to the fluid distribution system. There are many examples of storage tanks, such as potable water storage tanks, fuel storage tanks, etc.
VESSEL	An arbitrary closed tank type.
CURRENT	A transformer that changes the current between circuits.
FREQUENCY	A transformer that changes the frequency between circuits.
INVERTER	A transformer that converts from direct current (DC) to alternating current (AC).
RECTIFIER	A transformer that converts from alternating current (AC) to direct current (DC).
VOLTAGE	A transformer that changes the voltage between circuits.
FINNED	Finned tube bundle type.
ELEVATOR	Elevator or lift being a transport device to move people of good vertically.
ESCALATOR	Escalator being a transport device to move people. It consists of individual linked steps that move up and down on tracks while keeping the threads horizontal.
MOVINGWALKWAY	Moving walkway being a transport device to move people horizontally or on an incline. It is a slow conveyor belt that transports people.
CRANEWAY	A crane way system, normally including the crane rails, fasteners and the crane. It is primarily used to move heavy goods in a factory or other industry buildings.
LIFTINGGEAR	A device used for lifting or lowering heavy goods. It may be manually operated or electrically or pneumatically driven.
ALARMPANEL	A control element at which alarms are annunciated.
CONTROLPANEL	A control element at which devices that control or monitor the operation of a site, building or part of a building are located
GASDETECTIONPANEL	A control element at which the detection of gas is annunciated.
INDICATORPANEL	A control element at which equipment operational status, condition, safety state or other required parameters are indicated.
MIMICPANEL	A control element at which information that is available elsewhere is repeated or 'mimicked'.
HUMIDISTAT	A control element that senses and regulates the humidity of a system or space so that the humidity is maintained near a desired setpoint.
